2018-06-06 01:23:54.605392 mon.tasds1 mon.0 10.10.6.1:6789/0 444 : cluster [WRN] Health check update: Degraded data redundancy: 2864/2721 objects degraded (105.255%), 26 pgs degraded (PG_DEGRADED)
2018-06-06 01:23:59.605845 mon.tasds1 mon.0 10.10.6.1:6789/0 445 : cluster [WRN] Health check update: Degraded data redundancy: 2784/2721 objects degraded (102.315%), 25 pgs degraded (PG_DEGRADED)
2018-06-06 01:24:04.606282 mon.tasds1 mon.0 10.10.6.1:6789/0 446 : cluster [WRN] Health check update: Degraded data redundancy: 2704/2721 objects degraded (99.375%), 25 pgs degraded (PG_DEGRADED)
2018-06-06 01:24:09.606741 mon.tasds1 mon.0 10.10.6.1:6789/0 447 : cluster [WRN] Health check update: Degraded data redundancy: 2610/2721 objects degraded (95.921%), 24 pgs degraded (PG_DEGRADED)
2018-06-06 01:24:14.607137 mon.tasds1 mon.0 10.10.6.1:6789/0 448 : cluster [WRN] Health check update: Degraded data redundancy: 2483/2721 objects degraded (91.253%), 21 pgs degraded (PG_DEGRADED)
2018-06-06 01:24:19.607558 mon.tasds1 mon.0 10.10.6.1:6789/0 449 : cluster [WRN] Health check update: Degraded data redundancy: 2362/2721 objects degraded (86.806%), 21 pgs degraded (PG_DEGRADED)
2018-06-06 01:24:24.608023 mon.tasds1 mon.0 10.10.6.1:6789/0 450 : cluster [WRN] Health check update: Degraded data redundancy: 2214/2721 objects degraded (81.367%), 21 pgs degraded (PG_DEGRADED)
2018-06-06 01:24:29.608439 mon.tasds1 mon.0 10.10.6.1:6789/0 451 : cluster [WRN] Health check update: Degraded data redundancy: 2099/2721 objects degraded (77.141%), 19 pgs degraded (PG_DEGRADED)
2018-06-06 01:24:34.608878 mon.tasds1 mon.0 10.10.6.1:6789/0 452 : cluster [WRN] Health check update: Degraded data redundancy: 2024/2721 objects degraded (74.384%), 18 pgs degraded (PG_DEGRADED)
2018-06-06 01:24:39.609348 mon.tasds1 mon.0 10.10.6.1:6789/0 453 : cluster [WRN] Health check update: Degraded data redundancy: 1987/2721 objects degraded (73.025%), 18 pgs degraded (PG_DEGRADED)
2018-06-06 01:24:44.609729 mon.tasds1 mon.0 10.10.6.1:6789/0 454 : cluster [WRN] Health check update: Degraded data redundancy: 1938/2721 objects degraded (71.224%), 17 pgs degraded (PG_DEGRADED)
2018-06-06 01:24:49.610100 mon.tasds1 mon.0 10.10.6.1:6789/0 455 : cluster [WRN] Health check update: Degraded data redundancy: 1898/2721 objects degraded (69.754%), 17 pgs degraded (PG_DEGRADED)
2018-06-06 01:24:54.610502 mon.tasds1 mon.0 10.10.6.1:6789/0 456 : cluster [WRN] Health check update: Degraded data redundancy: 1856/2721 objects degraded (68.210%), 17 pgs degraded (PG_DEGRADED)
2018-06-06 01:24:59.610937 mon.tasds1 mon.0 10.10.6.1:6789/0 457 : cluster [WRN] Health check update: Degraded data redundancy: 1835/2721 objects degraded (67.438%), 16 pgs degraded (PG_DEGRADED)
2018-06-06 01:25:04.611378 mon.tasds1 mon.0 10.10.6.1:6789/0 458 : cluster [WRN] Health check update: Degraded data redundancy: 1801/2721 objects degraded (66.189%), 16 pgs degraded (PG_DEGRADED)
2018-06-06 01:25:09.611723 mon.tasds1 mon.0 10.10.6.1:6789/0 459 : cluster [WRN] Health check update: Degraded data redundancy: 1766/2721 objects degraded (64.903%), 16 pgs degraded (PG_DEGRADED)
2018-06-06 01:25:14.612093 mon.tasds1 mon.0 10.10.6.1:6789/0 460 : cluster [WRN] Health check update: Degraded data redundancy: 1727/2721 objects degraded (63.469%), 16 pgs degraded (PG_DEGRADED)
2018-06-06 01:25:19.612481 mon.tasds1 mon.0 10.10.6.1:6789/0 461 : cluster [WRN] Health check update: Degraded data redundancy: 1672/2721 objects degraded (61.448%), 15 pgs degraded (PG_DEGRADED)
2018-06-06 01:25:24.612887 mon.tasds1 mon.0 10.10.6.1:6789/0 462 : cluster [WRN] Health check update: Degraded data redundancy: 1637/2721 objects degraded (60.162%), 15 pgs degraded (PG_DEGRADED)
2018-06-06 01:25:29.613300 mon.tasds1 mon.0 10.10.6.1:6789/0 463 : cluster [WRN] Health check update: Degraded data redundancy: 1596/2721 objects degraded (58.655%), 15 pgs degraded (PG_DEGRADED)
2018-06-06 01:25:34.613712 mon.tasds1 mon.0 10.10.6.1:6789/0 464 : cluster [WRN] Health check update: Degraded data redundancy: 1559/2721 objects degraded (57.295%), 14 pgs degraded (PG_DEGRADED)
2018-06-06 01:25:39.614159 mon.tasds1 mon.0 10.10.6.1:6789/0 465 : cluster [WRN] Health check update: Degraded data redundancy: 1428/2721 objects degraded (52.481%), 13 pgs degraded (PG_DEGRADED)
2018-06-06 01:25:44.614589 mon.tasds1 mon.0 10.10.6.1:6789/0 466 : cluster [WRN] Health check update: Degraded data redundancy: 1382/2721 objects degraded (50.790%), 13 pgs degraded (PG_DEGRADED)
2018-06-06 01:25:49.614992 mon.tasds1 mon.0 10.10.6.1:6789/0 467 : cluster [WRN] Health check update: Degraded data redundancy: 1234/2721 objects degraded (45.351%), 12 pgs degraded (PG_DEGRADED)
2018-06-06 01:25:54.224522 mon.tasds1 mon.0 10.10.6.1:6789/0 468 : cluster [WRN] mon.2 10.10.6.3:6789/0 clock skew 0.0646142s > max 0.05s
2018-06-06 01:25:54.615415 mon.tasds1 mon.0 10.10.6.1:6789/0 469 : cluster [WRN] Health check update: Degraded data redundancy: 1169/2721 objects degraded (42.962%), 11 pgs degraded (PG_DEGRADED)
2018-06-06 01:25:59.619237 mon.tasds1 mon.0 10.10.6.1:6789/0 470 : cluster [WRN] Health check update: Degraded data redundancy: 1126/2721 objects degraded (41.382%), 11 pgs degraded (PG_DEGRADED)
2018-06-06 01:26:04.619672 mon.tasds1 mon.0 10.10.6.1:6789/0 471 : cluster [WRN] Health check update: Degraded data redundancy: 1087/2721 objects degraded (39.949%), 11 pgs degraded (PG_DEGRADED)
2018-06-06 01:26:09.620122 mon.tasds1 mon.0 10.10.6.1:6789/0 472 : cluster [WRN] Health check update: Degraded data redundancy: 1055/2721 objects degraded (38.773%), 10 pgs degraded (PG_DEGRADED)
2018-06-06 01:26:14.620557 mon.tasds1 mon.0 10.10.6.1:6789/0 473 : cluster [WRN] Health check update: Degraded data redundancy: 1018/2721 objects degraded (37.413%), 10 pgs degraded (PG_DEGRADED)
2018-06-06 01:26:19.621010 mon.tasds1 mon.0 10.10.6.1:6789/0 474 : cluster [WRN] Health check update: Degraded data redundancy: 981/2721 objects degraded (36.053%), 10 pgs degraded (PG_DEGRADED)
2018-06-06 01:26:24.621560 mon.tasds1 mon.0 10.10.6.1:6789/0 475 : cluster [WRN] Health check update: Degraded data redundancy: 933/2721 objects degraded (34.289%), 9 pgs degraded (PG_DEGRADED)
2018-06-06 01:26:29.622003 mon.tasds1 mon.0 10.10.6.1:6789/0 476 : cluster [WRN] Health check update: Degraded data redundancy: 869/2721 objects degraded (31.937%), 9 pgs degraded (PG_DEGRADED)
2018-06-06 01:26:34.622450 mon.tasds1 mon.0 10.10.6.1:6789/0 477 : cluster [WRN] Health check update: Degraded data redundancy: 803/2721 objects degraded (29.511%), 9 pgs degraded (PG_DEGRADED)
2018-06-06 01:26:39.622908 mon.tasds1 mon.0 10.10.6.1:6789/0 478 : cluster [WRN] Health check update: Degraded data redundancy: 708/2721 objects degraded (26.020%), 7 pgs degraded (PG_DEGRADED)
2018-06-06 01:26:44.623355 mon.tasds1 mon.0 10.10.6.1:6789/0 479 : cluster [WRN] Health check update: Degraded data redundancy: 662/2721 objects degraded (24.329%), 6 pgs degraded (PG_DEGRADED)
2018-06-06 01:26:49.623768 mon.tasds1 mon.0 10.10.6.1:6789/0 480 : cluster [WRN] Health check update: Degraded data redundancy: 620/2721 objects degraded (22.786%), 6 pgs degraded (PG_DEGRADED)
2018-06-06 01:26:54.624207 mon.tasds1 mon.0 10.10.6.1:6789/0 481 : cluster [WRN] Health check update: Degraded data redundancy: 584/2721 objects degraded (21.463%), 6 pgs degraded (PG_DEGRADED)
2018-06-06 01:26:59.624727 mon.tasds1 mon.0 10.10.6.1:6789/0 482 : cluster [WRN] Health check update: Degraded data redundancy: 553/2721 objects degraded (20.323%), 5 pgs degraded (PG_DEGRADED)
2018-06-06 01:27:04.625338 mon.tasds1 mon.0 10.10.6.1:6789/0 483 : cluster [WRN] Health check update: Degraded data redundancy: 505/2721 objects degraded (18.559%), 5 pgs degraded (PG_DEGRADED)
2018-06-06 01:27:09.625814 mon.tasds1 mon.0 10.10.6.1:6789/0 484 : cluster [WRN] Health check update: Degraded data redundancy: 449/2721 objects degraded (16.501%), 5 pgs degraded (PG_DEGRADED)
2018-06-06 01:27:14.626205 mon.tasds1 mon.0 10.10.6.1:6789/0 485 : cluster [WRN] Health check update: Degraded data redundancy: 380/2721 objects degraded (13.965%), 5 pgs degraded (PG_DEGRADED)
2018-06-06 01:27:14.625051 mon.tasds3 mon.2 10.10.6.3:6789/0 34 : cluster [WRN] message from mon.0 was stamped 0.063047s in the future, clocks not synchronized
2018-06-06 01:27:19.626552 mon.tasds1 mon.0 10.10.6.1:6789/0 486 : cluster [WRN] Health check update: Degraded data redundancy: 289/2721 objects degraded (10.621%), 5 pgs degraded (PG_DEGRADED)
2018-06-06 01:27:24.627051 mon.tasds1 mon.0 10.10.6.1:6789/0 487 : cluster [WRN] Health check update: Degraded data redundancy: 243/2721 objects degraded (8.931%), 3 pgs degraded (PG_DEGRADED)
2018-06-06 01:27:29.627431 mon.tasds1 mon.0 10.10.6.1:6789/0 488 : cluster [WRN] Health check update: Degraded data redundancy: 213/2721 objects degraded (7.828%), 3 pgs degraded (PG_DEGRADED)
2018-06-06 01:27:34.627868 mon.tasds1 mon.0 10.10.6.1:6789/0 489 : cluster [WRN] Health check update: Degraded data redundancy: 172/2721 objects degraded (6.321%), 3 pgs degraded (PG_DEGRADED)
2018-06-06 01:27:39.628320 mon.tasds1 mon.0 10.10.6.1:6789/0 490 : cluster [WRN] Health check update: Degraded data redundancy: 132/2721 objects degraded (4.851%), 1 pg degraded (PG_DEGRADED)
2018-06-06 01:27:44.628703 mon.tasds1 mon.0 10.10.6.1:6789/0 491 : cluster [WRN] Health check update: Degraded data redundancy: 90/2721 objects degraded (3.308%), 1 pg degraded (PG_DEGRADED)
2018-06-06 01:27:49.629071 mon.tasds1 mon.0 10.10.6.1:6789/0 492 : cluster [WRN] Health check update: Degraded data redundancy: 48/2721 objects degraded (1.764%), 1 pg degraded (PG_DEGRADED)
2018-06-06 01:27:54.629552 mon.tasds1 mon.0 10.10.6.1:6789/0 493 : cluster [WRN] Health check update: Degraded data redundancy: 7/2721 objects degraded (0.257%), 1 pg degraded (PG_DEGRADED)
2018-06-06 01:27:55.690527 mon.tasds1 mon.0 10.10.6.1:6789/0 494 : cluster [INF] Health check cleared: PG_DEGRADED (was: Degraded data redundancy: 7/2721 objects degraded (0.257%), 1 pg degraded)
2018-06-06 01:30:54.225842 mon.tasds1 mon.0 10.10.6.1:6789/0 496 : cluster [WRN] mon.2 10.10.6.3:6789/0 clock skew 0.0615054s > max 0.05s
